id,question,answer,wrong1,wrong2,wrong3,source,difficulty
31,The first in a popular movie series was 'Harry Potter and the Philosopher's what'?,Stone,Boulder,Pebble,Rock,au,1
32,Hospital is to doctor as school is to which occupation?,Teacher,Builder,Lawyer,Plumber,au,1
33,What does water become in the process of vapourisation?,Steam,Glass,Ice,Wine,au,1
34,Which device is used when administering an injection?,Syringe,Scalpel,Sphygmomanometer,Stethoscope,au,1
35,A square has how many sides?,Four,Three,Five,Twelve,au,1
36,What loud noise normally follows lightning?,Thunder,Sonic boom,Siren,Burp,au,1
37,Which of these orchestral musical instruments is stringed?,Violin,Cymbal,Flute,Trumpet,au,1
38,Where would you normally see a treadmill?,Gym,Casino,Library,Restaurant,au,1
39,Which part of the human skeleton encloses the brain?,Skull,Pelvis,Ribcage,Spine,au,1
40,Rhino is short for which word?,Rhinoceros,Rhinestone,Rhinitis,Rhinoplasty,au,1
41,Eggs are the main ingredient in which dish?,Omelette,Chowder,Pizza,Souvlaki,au,1
42,Which word cannot meaningfully precede 'engine'?,Fluffy,Fire,Search,Steam,au,1
43,Which fairytale character left behind a glass slipper at a ball?,Cinderella,Hansel,Rumpelstiltskin,Snow White,au,1
44,What type of animated creature is the title character in the film Finding Nemo'?,Fish,Bird,Insect,Mammal,au,1
45,Which sport does not involve the use of racquets?,Golf,Badminton,Squash,Tennis,au,1
46,Which is the title of a famous play by William Shakespeare?,Romeo and Juliet,Pride and Prejudice,Milo and Otis,Dumb and Dumber,au,1
47,Which abbreviation is a measure of someone's intelligence?,IQ,IOU,IT,IVF,au,1
48,Which type of book chiefly contains maps?,Atlas,Biography,Colouring book,Dictionary,au,1
49,Believed to look after a particular individual is what sort of angel?,Guardian angel,Archangel,Cherub,Charlie's Angel,au,1
50,Which girl's name is also a small British coin?,Penny,Elizabeth,Nancy,Sylvia,au,1
51,A calf is the young of which animal?,Cow,Cat,Goat,Gorilla,au,1
52,The tongue is our principal organ for which of the senses?,Taste,Hearing,Sight,Smell,au,1
53,What is the only planet apart from Pluto with only one moon?,Earth,Jupiter,Saturn,Mars,au,1
54,Which of these is an animal's young produced at one time?,Litter,Latter,Letter,Lotter,au,1
55,Movie character Shrek is basically which colour?,Green,Blue,Red,Orange,au,1
56,Which of these is a kind of robbery?,Hold-up,Push-up,Mix-up,Leg-up,au,1
57,"In astronomy, thought to arise from the collapse of a massive star is a what hole?",Black,Bleak,Block,Big,au,1
58,Sylvester Stallone's Rocky character is what kind of sportsman?,Boxer,Golfer,Runner,Footballer,au,1
59,A computer-game hero is Sonic the what?,Hedgehog,Aardvark,Polecat,Muskrat,au,1
60,Soft and white is what cheese?,Cottage,House,Bungalow,Apartment,au,1
61,Which of these is the strip of material covering the opening on a pair of trousers?,Fly,Bee,Wasp,Cicada,au,1
62,The name of which state capital has the fewest letters?,Perth,Sydney,Hobart,Brisbane,au,1
63,"According to the Bible, who was the first woman?",Eve,Eva,Evie,Evita,au,1
64,Which of these represents the sound of a tittering laugh?,Teehee,Teebee,Teelee,Teevee,au,1
65,A bellboy is an employee in which establishment?,Hotel,Hospital,School,Church,au,1
66,A London landmark is what Ben?,Big,Blue,Bull,Bad,au,1
67,Which of these is one who inherits the estate of another?,Heir,Air,Ayr,Eyre,au,1
68,Which type of jump requires the use of an elastic cord?,Bungee jump,Triple jump,Long jump,High jump,au,1
69,An x is the symbol for which mathematical process?,Multiplication,Addition,Division,Subtraction,au,1
70,A glasshouse is also known as a what-colour..house?,Green,Blue,Red,Yellow,au,1
71,Which is both a dog breed and a long stick used by a lecturer?,Pointer,Boxer,Retriever,Setter,au,1
72,Which is another name for an undertaker?,Mortician,Musician,Physician,Politician,au,1
73,The statuette awarded by the US Academy of Motion Picture Arts and Sciences has what name?,Oscar,Charlie,Mike,Victor,au,1
74,What do we call someone who rides a bicycle?,Cyclist,Cyclops,Cyclone,Cyclamen,au,1
75,Supposedly resulting in the damnation of someone's soul are the how-many deadly sins?,Seven,Five,Ten,Twelve,au,1
76,What does 12 divided by 4 equal?,3,2,6,8,au,1
77,What can often be described as on the cob?,Corn,Barley,Rice,Wheat,au,1
78,What is the abbreviation for Doctor of Philosophy?,Ph.D,D.P.,D.o.P,P.D,au,1
79,"Painted by Leonardo da Vinci, what is arguably the world's most famous portrait?",Mona Lisa,Lisa Marie,Maria Theresa,Moira Louisa,au,1
80,A hoot is the cry of which bird?,Owl,Canary,Eagle,Goose,au,1
81,Which of these adjectives describes a type of telephone?,Cordless,Clueless,Gormless,Reckless,au,1
82,"Traditionally, the Three Wise Men did not present which of these gifts to the infant Jesus?",Teddy bear,Gold,Frankincense,Myrrh,au,1
83,How many seconds are in four minutes?,240,200,210,220,au,1
84,Napoleon Bonaparte was a great 19th-century emperor of which country?,France,Germany,Italy,Spain,au,1
85,"Named after a town in Somerset, what kind of food is cheddar?",Cheese,Bread,Meat,Soup,au,1
86,To turn something minor into a major problem is to make a mountain out of a what?,Molehill,Mousehill,Mulehill,Moosehill,au,2
87,A dance for four couples is a what dance?,Square,Hexagon,Triangle,Pentagon,au,2
88,To be calm and unruffled is to be as cool as a what?,Cucumber,Cockroach,Caterpillar,Cumquat,au,2
89,Which of these is also a carousel?,Merry-go-round,Big dipper,Seesaw,Slippery dip,au,2
90,Which of these is not a card game?,Checkers,Poker,Bridge,Rummy,au,2
91,Which city hosted the 2000 Olympic Games?,Sydney,Adelaide,Brisbane,Melbourne,au,2
92,Which of these counteracts the effects of a poison?,Antidote,Antiphon,Antipope,Antinode,au,2
93,Which of these is a long-running TV current-affairs show?,60 Minutes,50 Minutes,70 Minutes,80 Minutes,au,2
94,A famous US comedy troupe was the what Brothers?,Marx,Stalin,Trotsky,Lenin,au,2
95,What is the seventh letter of the English alphabet?,G,F,H,J,au,2
96,In which board game can you buy houses and hotels?,Monopoly,Cluedo,Scrabble,Trivial Pursuit,au,2
97,In which country is the dollar not the basic unit of currency?,Britain,America,Australia,New Zealand,au,2
98,Which is a well-known colloquialism for a leader?,Top dog,Peak cat,Summit mouse,Uppermost weasel,au,2
99,"John, Paul, George, and Ringo made up what famous '60s pop group?",The Beatles,The Antz,The Crikkets,The Dragonflys,au,2
100,What is by far the largest heavenly body in the solar system?,The Sun,Earth,Jupiter,The Moon,au,2
101,What form of transport is the Mitsubishi Colt?,Car,Plane,Train,Horse,au,2
102,What is the sum of 7 and 8?,15,1,56,78,au,2
103,Which occupation commonly uses a drill?,Dentist,Architect,Barrister,Cleaner,au,2
104,Which colour does not appear on the Australian flag?,Gold,Blue,Red,White,au,2
105,Which Australian animal is not a marsupial?,Dingo,Kangaroo,Koala,Wombat,au,2
106,Which is a child's toy that has a puppet on a spring?,Jack-in-the-box,Jackboot,Jackhammer,Jack-o'-lantern,au,2
107,Auckland is the largest city of which of Australia's neighbours?,New Zealand,East Timor,Indonesia,Papua New Guinea,au,2
108,The fruit of the oak tree is the what?,Acorn,Awheat,Arye,Abarley,au,2
109,Which of these describes the figure of a woman with a relatively narrow waist?,Hourglass,Sundial,Wristwatch,Chronometer,au,2
110,A marksman is a person skilled at what?,Shooting,Drawing,Sailing,Cooking,au,2
111,One of Robin Hood's band of merry men was Friar who?,Tuck,Tuckerbox,Tuckwell,Tucker,au,2
112,The South American piranha is a type of what?,Fish,Insect,Bird,Reptile,au,2
113,Meaning 'in the very act of a crime' is what-handed?,Red,Heavy,Left,Short,au,2
114,"Which of these is a common, harmless spider?",Daddy-long-legs,Granny-fat-legs,Mummy-short-legs,Aunty-thin-legs,au,2
115,Which of these means to pass another vehicle?,Overtake,Overpass,Overturn,Override,au,2
116,The sales abbreviation ONO stands for 'or what offer'?,Nearest,Neatest,Nicest,Noisiest,au,2
117,To overcome initial reserve at a social occasion is to break what?,The ice,A leg,Up,Wind,au,2
118,France and which other country are joined by the 'Chunnel'?,UK,Germany,Spain,Italy,au,2
119,What shape is the base of a cone?,Circle,Triangle,Pentagon,Square,au,2
120,"According to the well-known saying, there's no rest for the what?",Wicked,Wilted,Wasted,Wicket,au,2
121,Which fish is also a roost for a bird?,Perch,Shark,Trout,Carp,au,2
122,A landmark in which city is the Parthenon?,Athens,London,Berlin,Moscow,au,2
123,"Especially by children, a person easily scared is known as a fraidy-what?",Cat,Mouse,Rabbit,Bird,au,2
124,Which synonym is also a commissioned officer rank in the army?,Major,Chief,Main,Principal,au,2
125,Which letter of the alphabet represents the principal side of a vinyl record?,A,B,C,D,au,2
126,Which part of the body are you said to pay through when paying an excessive amount?,Nose,Ear,Mouth,Skin,au,2
127,"In animal classification, which genus refers to modern humans?",Homo,Canis,Felis,Ursa,au,2
128,"Colloquially speaking, what get crossed when there's a misunderstanding?",Wires,Ropes,Cables,Legs,au,2
129,"Loved by Julius Caesar and Mark Antony was Cleopatra, Queen of where?",Egypt,Britain,Macedonia,Rome,au,2
130,Which biblical character was the wife of Adam and mother of all mankind?,Eve,Mary,Rachel,Sarah,au,2
131,What is the common term for a male goose?,Gander,Bull,Drake,Stag,au,2
132,The iris is part of which sensory organ?,Eye,Ear,Nose,Skin,au,2
133,The gazelle is a graceful kind of which animal?,Antelope,Cat,Dog,Horse,au,2
134,Which initials introduce an addition to a letter after the signature?,PS,AM,DP,SR,au,2
135,40-15 is a regular score in which sport?,Tennis,Baseball,Cricket,Golf,au,2
136,Which type of weather denotes very fine rain?,Drizzle,Downpour,Sleet,Snow,au,2
137,What sort of block denotes an inability to remember something?,Mental,Building,Road,Toilet,au,2
138,What is the past tense of 'run'?,Ran,Runned,Running,Runs,au,2
139,Where in your body are your canines?,Mouth,Brain,Ear,Heart,au,2
140,Which adjective denotes a third rank or stage?,Tertiary,Primary,Quaternary,Secondary,au,2
141,Which was a huge hit song for Australian band Men at Work?,Down Under,Over and Out,Up and Over,"Up, Up and Away",au,2
142,Where would you normally see driftwood?,On a beach,At a barbecue,In a sawmill,On a house,au,2
143,Dutch is the official language of which country?,Holland,Denmark,Germany,Norway,au,2
144,Which of these fruits is eaten as a vegetable?,Tomato,Apple,Banana,Orange,au,2
145,What sort of horse is a toy large enough to be ridden by a child?,Rocking,Rolling,Stalking,Trojan,au,2
146,What would you normally do with a flapjack?,Eat it,Drink it,Play it,Wear it,au,2
147,Which is a colloquialism for your navel?,Belly button,Gut knob,Stomach lever,Tummy hole,au,2
148,Which of these cities is a national capital?,Paris,Birmingham,Barcelona,Naples,au,2
149,Which of these is a type of pen?,Felt-tip,Baize-tip,Suede-tip,Shag-tip,au,2
150,Which of these is the name of a large American vehicle adapted from military use?,Hummer,Warbler,Singer,Crooner,au,2
151,Which of these is not a chess piece?,General,Bishop,Queen,Knight,au,2
152,Which of these is not a Nobel Prize category?,Sculpture,Peace,Literature,Chemistry,au,2
153,The pug is a breed of which animal?,Dog,Pig,Cat,Sheep,au,2
154,"Figuratively, the world has how many corners?",Four,One,Two,Three,au,2
155,To do as someone else has done is to follow in their what?,Footsteps,Footnotes,Foothills,Footballs,au,2
156,In which of these places would you expect to find a presbytery?,Church,Prison,Hospital,School,au,2
157,What does a teetotaller abstain from drinking?,Alcohol,Tea,Coffee,Coca-Cola,au,2
158,To alter one's fundamental character is to change one's what?,Spots,Clothes,Friends,Freckles,au,2
159,Which writing implement has a type called 'fountain'?,Pen,Pencil,Chalk,Crayon,au,2
160,"Which rich sauce is basically made of egg yolks, butter and lemon juice or vinegar?",Hollandaise,Polandaise,Finlandaise,Irelandaise,au,2
161,Which of these is the key person in some situation?,Linchpin,Tenpin,Hairpin,Hatpin,au,2
162,Which of these is a person under medical supervision?,Patient,Pertinent,Patent,Penitent,au,2
163,Which of these is a celebrity beach colony in Los Angeles county?,Malibu,Majorca,Marabou,Molonglo,au,2
164,The Union Jack occupies which quadrant of the Australian flag?,Top left,Bottom right,Bottom left,Top right,au,2
165,A Jules Verne novel is 'Journey to the Centre of the what'?,Earth,Outback,Lake,Circle,au,2
166,Christopher Columbus was a great what?,Navigator,Painter,Musician,Astronomer,au,2
167,Which of these is used for stitching wounds and to string violins and tennis racquets?,Catgut,Batgut,Eelgut,Owlgut,au,2
168,The personification of freezing weather is who Frost?,Jack,Joe,Johnny,Jesus,au,2
169,"If applauding, we what hands?",Clap,Shake,Wring,Wash,au,2
170,The phrase 'season's greetings' commonly features on a what card?,Christmas,Birthday,Sympathy,Business,au,2
171,Which of these is a common abbreviation of 'Christmas'?,Xmas,Wmas,Ymas,Zmas,au,2
172,From what language do we get the word 'smorgasbord'?,Swedish,Italian,Japanese,Arabic,au,2
173,Said to bring good luck to its finder is a four-leaf what?,Clover,Clematis,Carnation,Cactus,au,2
174,Which of these is a cocktail?,Martini,Martin,Martinet,Martinez,au,2
175,The ruins of the ancient city of Pompeii are in which country?,Italy,Greece,Spain,France,au,2
176,Which of these is a name given to several breeds of dog?,Retriever,Reclaimer,Redeemer,Returner,au,2
177,Facial stubble that appears before the end of the day is called 'a what shadow'?,Five o'clock,1700 hours,PM,Lengthening,au,2
178,"Which sport is also a pumpkin-like vegetable, but smaller?",Squash,Cricket,Golf,Tennis,au,2
179,In which country of the UK is Glasgow the largest city?,Scotland,England,Northern Ireland,Wales,au,2
180,"Which of the sciences includes the branches of algebra, calculus, and geometry?",Mathematics,Chemistry,Geology,Physics,au,2
181,Which sign of the zodiac is symbolised by the Twins?,Gemini,Aries,Cancer,Taurus,au,2
182,Buckingham Palace is the London residence of which country's monarch?,Britain,Belgium,Monaco,Spain,au,2
183,An archer uses what type of weapon?,Bow & arrow,Cannon,Rifle,Sword,au,2
184,Which noun best describes a person intolerant towards those who think differently?,Bigot,Anglophile,Cretin,Delinquent,au,2
185,How do we describe the small print in a contract setting the conditions and matters of detail?,Fine,Cloudy,Sunny,Wet,au,2
186,What type of medal is awarded for first place in an Olympic contest?,Gold,Bronze,Platinum,Silver,au,2
187,What is the other common name for table tennis?,Ping-pong,Pang-peng,Peng-ping,Pong-pung,au,2
188,How many world wars occurred in the 20th century?,Two,One,Three,Four,au,2
189,Which term denotes a person who is tactful in negotiations?,Diplomat,Diplodocus,Diploma,Diplopod,au,2
190,The adjective optic relates to which of the senses?,Sight,Hearing,Smell,Taste,au,2
191,Which fictional character is a hero of a series of jungle stories by Edgar Rice Burroughs?,Tarzan,Batman,The Phantom,Superman,au,2
192,What is measured by the metre?,Length,Force,Mass,Time,au,2
193,Which hemisphere is also known as the New World?,Western,Eastern,Northern,Southern,au,2
194,Which is a procedure of plastic surgery?,Facelift,Uplift,Kneelift,Chairlift,au,2
195,A type of radiation with invisible light rays is ultra..what?,Violet,Blue,Orange,Red,au,2
196,"Traditionally founded in 753 BC, what is the capital of Italy?",Rome,Florence,Milan,Venice,au,2
197,Breeches are a kind of what?,Trousers,Gloves,Boots,Spectacles,au,2
198,A notorious symbol of the Cold War was the Berlin what?,Wall,Corridor,Curtain,Tower,au,2
199,A region's fauna is its what?,Animals,Weather,History,Language,au,2
200,Which of these is a computer program for organising numerical data?,Spreadsheet,Broadsheet,Newsheet,Bedsheet,au,2
201,One of the best-known of Aesop's Fables is 'The Wolf in whose Clothing'?,Sheep's,Cow's,Bear's,Snake's,au,2
202,Which of these is a place for people and things forgotten or cast aside?,Limbo,Jumbo,Bimbo,Mumbo,au,2
203,Lizards belong to which animal class?,Reptiles,Amphibians,Fish,Mammals,au,2
204,What is the Roman numeral for 1?,I,C,V,X,au,2
205,Part of which continent is the country of Peru?,South America,Africa,Asia,Europe,au,2
206,Charles Stewart Rolls teamed up with which fellow car maker to found a famous motor company?,Royce,Benz,Daimler,Ford,au,2
207,Zeus is the king of the gods in which mythology?,Greek,Egyptian,Hindu,Norse,au,2
208,Tobey Maguire has played which superhero on the silver screen?,Spider-Man,Batman,Captain America,The Flash,au,2
209,Which company makes the iPod music player?,Apple,Sony,Koss,Aiwa,au,2
210,The terrorist attack on US soil known simply as 9/11 occurred in which year?,2001,2000,2002,2003,au,2
211,Brutus was a leader of the conspiracy that assassinated whom?,Julius Caesar,Alexander the Great,Genghis Khan,Napoleon Bonaparte,au,2
212,Colgate is a top-selling brand of what?,Toothpaste,Ice-cream,Coffee,Bread,au,3
213,You might ask someone who won't speak: what got your tongue?,Cat,Dog,Rat,Pig,au,3
214,According to the well-known phrase: as American as apple what?,Pie,Strudel,Crumble,Turnover,au,3
215,A classic early hit for Elvis Presley was 'Heartbreak what'?,Hotel,Hospital,Heliport,House,au,3
216,A VCR is a 'video cassette what'?,Recorder,Restorer,Rewinder,Remover,au,3
217,Admiral is a rank in which branch of the armed forces?,Navy,Air Force,Army,Marine Corps,au,3
218,"In the nursery rhyme, Baa Baa Black Sheep is asked what question?",Have you any wool?,What time is it?,Where's the farm?,Why the long face?,au,3
219,What animal is said to be in your throat if your voice is hoarse?,Frog,Butterfly,Cat,Horse,au,3
220,England's David Beckham is a superstar in which sport?,Soccer,Golf,Rugby,Tennis,au,3
221,Which word is an anagram of a very popular flower?,Sore,Bore,Core,More,au,3
222,Which series of films features hobbits?,Lord of the Rings,Austin Powers,Halloween,Harry Potter,au,3
223,"Colloquially, to fall to the ground is to hit the what?",Deck,Road,Bottle,Roof,au,3
224,"'What Fabulous' is the name of the British sitcom, shortened to 'Ab Fab'?",Absolutely,Absorbently,Absurdly,Absently,au,3
225,What is the part of a tyre that touches the road?,Tread,Track,Trace,Trail,au,3
226,What does a troubadour do?,Sing songs,Fight bulls,Grow vegetables,Write wills,au,3
227,Education at a university is classed as what?,Tertiary,Primary,Secondary,Quaternary,au,3
228,The Boeing 747 has how many engines?,Four,One,Two,Three,au,3
229,"According to the nursery rhyme, 'There was an old woman who lived in a what'?",Shoe,Sneaker,Clog,Ugh boot,au,3
230,A device for forcing paints or other liquids through a small nozzle is the spray-what?,Gun,Rifle,Cannon,Howitzer,au,3
231,A kind of who or what is a grenadier?,Soldier,Colour,Drink,Plant,au,3
232,What type of animal is the lorikeet?,Bird,Fish,Mammal,Reptile,au,3
233,Which synonym is also a category of star?,Dwarf,Midget,Pygmy,Shrimp,au,3
234,Who directed such film thrillers as 'Psycho' and 'Vertigo'?,Alfred Hitchcock,Woody Allen,Steven Spielberg,Billy Wilder,au,3
235,To allow very little margin is to cut it how?,Fine,Both ways,Down,Off,au,3
236,Which is a horse's fastest pace?,Gallop,Canter,Trot,Walk,au,3
237,"What is the surname of TV's Gomez, Morticia, Wednesday, and Pugsley?",Addams,Jetson,Munster,Simpson,au,3
238,What is Australia's southernmost state?,Tasmania,Queensland,South Australia,Victoria,au,3
239,"Covered with a shaggy coat, which is a breed of dog?",Sheepdog,Cowdog,Goatdog,Pigdog,au,3
240,An American army scout and showman was the legendary Buffalo who?,Bill,Phil,Will,Jill,au,3
241,"Proverbially, hope springs what?",Eternal,Rare,Often,Never,au,3
242,Conducted without regard for legal procedure is a what court?,Kangaroo,Platypus,Koala,Echidna,au,3
243,A Beach Boys hit was 'California what'?,Girls,Weather,Food,Taxes,au,3
244,The Swiss Guards are responsible for protecting which leader?,Pope,Dalai Lama,US president,UK monarch,au,3
245,In which of the following fields would you use the term 'a cappella'?,Music,Cookery,Architecture,Poetry,au,3
246,C is the chemical symbol of which element?,Carbon,Calcium,Cobalt,Copper,au,3
247,Which is obtained chiefly from the juice of cane or beet?,Sugar,Butter,Pepper,Salt,au,3
248,Which is another name for the Virgin Mary?,Madonna,Madeleine,Madison,Madrigal,au,3
249,Which of these creatures is a squid-like animal?,Cuttlefish,Silverfish,Starfish,Swordfish,au,3
250,A cobbler is a person who mends which items of clothing?,Shoes,Hats,Pants,Socks,au,3
251,Which word in this basic question is an adjective?,Basic,Adjective,Question,Word,au,3
252,Sufficient room or scope is called what sort of room?,Elbow,Ankle,Knee,Shoulder,au,3
253,The RSPCA is the Royal Society for the Prevention of Cruelty to what?,Animals,Adolescents,The Aged,Artists,au,3
254,What is the name of the long-running hit TV show that starred Jennifer Aniston among five others?,Friends,Acquaintances,Lovers,Neighbours,au,3
255,"In geometry, a line meeting another at right angles is described how?",Perpendicular,Parallel,Paranoid,Placid,au,3
256,Which of these animals is not a mammal?,Grouse,Horse,Moose,Mouse,au,3
257,What are you said to lose if you become too afraid to do something?,Nerve,Marbles,Plot,Temper,au,3
258,Which English novelist wrote 'Oliver Twist' in the late 1830s?,Charles Dickens,Jane Austen,Emily Bronte,Thomas Hardy,au,3
259,2003 saw the end of Saddam Hussein's reign as dictator of which country?,Iraq,Iran,India,Israel,au,3
260,Which prize is awarded annually in Sweden and Norway?,Nobel,Archibald,Booker,Pulitzer,au,3
261,What's another name for the cantaloupe?,Rock melon,Rock hopper,Rock lobster,Rock plant,au,3
262,Which of the senses relates to 'acoustic'?,Hearing,Sight,Taste,Touch,au,3
263,Bastille Day is a national holiday of which country?,France,Germany,Italy,Spain,au,3
264,CCTV stands for 'what television'?,Closed-circuit,Cubic-capacity,Carbon-copy,Corn-chip,au,3
265,Australia competes against which country for rugby union's Bledisloe Cup?,New Zealand,France,USA,South Africa,au,3
266,A gesture of servility is to tug one's what?,Forelock,Forelimb,Foreland,Foreloin,au,3
267,Which of these is not a brand of digital camera?,Eveready,Canon,Nikon,Olympus,au,3
268,In which country is the Cape of Good Hope?,South Africa,Nigeria,Morocco,Somalia,au,3
269,Transmitting disease in humans and animals is Africa's tsetse what?,Fly,Worm,Frog,Beetle,au,3
270,Which of these animals has the most conspicuous proboscis?,Elephant,Giraffe,Octopus,Horse,au,3
271,Which TV series featured the starship USS 'Enterprise'?,Star Trek,Space: 1999,Lost in Space,Battlestar Galactica,au,3
272,Which author created the characters of the diminutive hobbits?,JRR Tolkien,EB White,CS Lewis,JM Barrie,au,3
273,A political party greatly concerned with the environment is the Australian what?,Greens,Browns,Blues,Greys,au,3
274,Which condition is treated by the drug Viagra?,Impotence,Baldness,Obesity,Incontinence,au,3
275,One who makes offensive accusations against an opponent is called a mud-what?,Slinger,Hurler,Flinger,Tosser,au,3
276,The first man in space was from which country?,USSR,USA,UK,China,au,3
277,To be so annoying as to cause physical discomfort is to set one's what on edge?,Teeth,Hair,Feet,Elbows,au,3
278,What is the fat between the skin and muscle of whales?,Blubber,Blabber,Blobber,Blebber,au,3
279,The leading parliamentary members of a governing party are the what?,Cabinet,Cupboard,Cubicle,Closet,au,3
280,In which sport might a player bogey?,Golf,Tennis,Soccer,Volleyball,au,3
281,Marseille is a major seaport in which country?,France,Canada,Haiti,Morocco,au,3
282,Fiji is a nation of islands located in which ocean?,Pacific,Arctic,Atlantic,Indian,au,3
283,Which of these words signifies a formal beginning?,Inauguration,Inapprehension,Inattention,Incarceration,au,3
284,A British composer of musicals including 'Cats' and 'The Phantom of the Opera' is Andrew who?,Lloyd Webber,Lloyd Baker,Lloyd George,Lloyd Harrison,au,3
285,The city of Mecca is the spiritual centre of which great religion?,Islam,Buddhism,Christianity,Judaism,au,3
286,Which colloquially describes a person or matter of little or no importance?,Small potatoes,Big bananas,Little carrots,Large oranges,au,3
287,The name of which animal contains five syllables?,Hippopotamus,Elephant,Orang-utan,Rhinoceros,au,3
288,The leopard in its black form is also known as which big cat?,Panther,Cheetah,Jaguar,Tiger,au,3
289,Which of these adjectives best describes a miser?,Stingy,Stiff,Still,Stinky,au,3
290,Which is not the name of a US state?,East Hampshire,North Carolina,South Dakota,West Virginia,au,3
291,What kind of edge denotes the forefront of innovation?,Cutting,Breaking,Chopping,Splitting,au,3
292,What is the symbol for the star sign Virgo?,Virgin,Goat,Ram,Scorpion,au,3
293,Which of these European countries is part of Scandinavia?,Denmark,Austria,Belgium,Croatia,au,3
294,Sake is a fermented alcoholic drink associated with which country?,Japan,China,Thailand,Vietnam,au,3
295,Normally following a company's name is what abbreviation for limited'?,Ltd,Lim,Lit,Lmd,au,3
296,Arrivederci is an interjection meaning 'goodbye for now' in which language?,Italian,French,German,Spanish,au,3
297,"According to the saying, what should you fight fire with?",Fire,Blanket,Sand,Water,au,3
298,Which body of water is an arm of the Arabian Sea?,Persian Gulf,Bay of Bengal,Gulf of Mexico,Yellow Sea,au,3
299,"Albeit constitutional, what type of political entity is Britain?",Monarchy,Commonwealth,Federation,Republic,au,3
300,What kind of geographical feature is Africa's Kilimanjaro?,Volcanic mountain,Inland sea,Meteor crater,Salt lake,au,3
301,Which term can apply to a type of furniture?,Recliner,Reckoner,Recorder,Recover,au,3
302,Which farm animals are affected by swine fever?,Pigs,Cattle,Horses,Sheep,au,3
303,What type of body tissue is your arm's biceps?,Muscle,Artery,Gland,Nerve,au,3
304,What kind of ism is over-the-top patriotism?,Jingoism,Expressionism,Impressionism,Socialism,au,3
305,Which of these planets is larger than Earth?,Saturn,Mars,Pluto,Venus,au,3
306,Lenin led which defunct communist state in the early 20th century?,Soviet Union,Czechoslovakia,East Germany,Yugoslavia,au,3
307,Frenchman Henri Matisse was famous in which of the arts?,Painting,Architecture,Literature,Music,au,3
308,Which is a colourful term for a useless possession?,White elephant,Black rhino,Brown hippo,Grey giraffe,au,3
309,Which of these months has 31 days?,March,February,June,November,au,3
310,Inhabiting warm waters is the voracious what shark?,Tiger,Lion,Jaguar,Panther,au,3
311,Which of these cities is not a national capital?,Antwerp,Lisbon,Helsinki,Berlin,au,3
312,China claims jurisdiction over which of these islands?,Taiwan,Honshu,Borneo,Luzon,au,3
313,"According to 'The Star-Spangled Banner', the US is 'the home of the what'?",Brave,Bright,Bold,Best,au,3
314,"In a court of law, who usually delivers the verdict?",Jury,Prosecutor,Defendant,Bailiff,au,3
